"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",4,
"AUS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",3.2,
"CAN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",6,
"CAN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.8,
"FIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",11,
"FIN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11.2,
"FRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",7,
"FRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",6.6,
"DEU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",20,
"DEU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",19.6,
"HUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",9,
"HUN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",8.7,
"ITA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",7,
"ITA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",5.3,
"JPN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",14,
"JPN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",8.9,
"KOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",19,
"KOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",18.4,
"MEX","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",16,
"MEX","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",5,
"NLD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",9,
"NLD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",6.4,
"NZL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",9,
"NZL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.7,
"NOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",11,
"NOR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",9.9,
"POL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",10,
"POL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.9,
"ESP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",10,
"ESP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",9.6,
"SWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",12,
"SWE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.2,
"CHE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",16,
"CHE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",15.2,
"TUR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",25,
"TUR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",13.3,
"GBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",12,
"GBR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.2,
"USA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",13,
"USA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11,
"ALB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",30,
"ALB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",29.8,
"DZA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",52,
"DZA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",48.2,
"ARG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",4,
"ARG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11.6,
"ARM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",9,
"ARM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.1,
"AZE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",22,
"AZE","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28,
"BGD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",33,
"BGD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28.3,
"BLR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",4,
"BLR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",4.1,
"BIH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",5,
"BIH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",4.8,
"BRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",15,
"BRA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",8.5,
"BGR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",21,
"BGR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",18.2,
"KHM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",46,
"KHM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",50.4,
"CHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",12,
"CHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",10.3,
"CHN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",49,
"CHN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",32.7,
"COL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",11,
"COL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11.1,
"EGY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",39,
"EGY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",35.7,
"EST","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",18,
"EST","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",16.9,
"ETH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",68,
"ETH","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",63,
"GEO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",9,
"GEO","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",8.6,
"GHA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",44,
"GHA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28.3,
"HTI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",29,
"HTI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",58.9,
"IND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",45,
"IND","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",22.1,
"IDN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",31,
"IDN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",34.5,
"IRN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",21,
"IRN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",21,
"KAZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",12,
"KAZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",14.2,
"MKD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",15,
"MKD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",14.5,
"MYS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",42,
"MYS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",41.5,
"MDA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",22,
"MDA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",11.2,
"MOZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",36,
"MOZ","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",22.9,
"NGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",43,
"NGA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",34.7,
"PAK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",43,
"PAK","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",42.2,
"PER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",34,
"PER","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",32.2,
"PHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",14,
"PHL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",12.9,
"ROU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",11,
"ROU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",7.5,
"RUS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",25,
"RUS","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",23.3,
"SGP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",41,
"SGP","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",40.5,
"SVN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",17,
"SVN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",15.8,
"ZAF","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",34,
"ZAF","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",61.2,
"SDN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",47,
"SDN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",34,
"TZA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",54,
"TZA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",58,
"THA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",61,
"THA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",8.6,
"UKR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",22,
"UKR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2.9,
"URY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",9,
"URY","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",1.5,
"VNM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",36,
"VNM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",28.2,
"ZMB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",62,
"ZMB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",46.9,
"SRB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",11,
"SRB","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",3.8,
"AFG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",90,
"AFG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",80.2,
"BEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",16,
"BEN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",36,
"BTN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",68,
"BTN","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",68.4,
"BOL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",16,
"BOL","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",16.1,
"BWA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",17,
"BFA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",44,
"BFA","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",43.5,
"BDI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",73,
"BDI","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",72.9,
"CMR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",47,
"CMR","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",36.1,
"CAF","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",80,
"CAF","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",79.6,
"TCD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",62,
"TCD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",73.5,
"COG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",76,
"COG","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",54.2,
"COD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",76,
"COD","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",74.8,
"DOM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",4,
"DOM","VIOLWOMEN","ATTITUDEVIOL","PC","A","2019",2,
"ECU","VIOLWOMEN","ATTITUDEVIOL","PC","A","2014",25,
