"Pais","Porcentaje de Parlamentarias 2010-2019","Esperanza de Vida de Mujeres","GDP - per capita","Promedio acceso a cuenta bancaria y servicio telefonico","Promedio acceso anticonceptivo","Violencia fisica y psicologica de la mujer de 15 - 49 años","Violencia Domestica","Promedio Alfabetizacion 2009-2019","Promedio Educacion 2009-2019"
"AFG",27.7,54.4,2000,21.8,4.5,46.1,53.2,37.4,2.9
"AGO",34.7,63.4,6800,13.7,27.8,25.9,13.7,66,6.8
"ALB",21.3,81.9,12500,46,31.5,18.1,8.9,97.4,65.4
"ARG",37.9,81.1,20900,44.5,68.3,52.9,11.6,99.1,98.1
"ARM",13.4,79.2,9500,24.6,56,3.5,7.6,99.7,55
"AUS",27,85,50400,98.9,67.3,2.6,3.2,97.8,139.1
"AZE",16.4,76.9,17500,22.6,54.9,9.8,29.3,99.8,24.1
"BDI",33.7,68.8,700,27.4,6.4,27.9,39.5,65,2.8
"BEN",8.2,63.3,2300,15.4,17.3,47,22.3,37.7,7.3
"BFA",13.4,64.5,1900,23.9,19.3,9.3,40.8,37.9,3.3
"BGR",22.4,78.5,21800,89.9,63.5,9,18.2,98.4,72.1
"BIH",20.6,80.7,12800,49.8,45.8,4.1,1.4,97.6,59.4
"BLR",33.2,79.5,18900,70.5,67.6,4,4.1,99.7,100.2
"BOL",39.2,73.4,7600,39,66.5,27.1,5.2,92.8,40.5
"BRA",10.2,78.4,15600,83.4,68.6,12.6,8.5,91.8,53.9
"CAF",9.8,55.7,700,15.2,6.6,26.3,79.6,37.1,1.5
"CHE",32.1,85.3,62100,97.8,72.9,9,15.2,98.7,56.1
"CHN",22.8,78.4,18200,84.5,70.9,34,32.7,96,39.8
"CIV",10.2,63.6,3900,32.4,20.1,22,27.5,44,6
"CMR",22.5,64,3700,17,28.9,32.7,23.6,74.2,11.7
"COG",8.6,62.7,6800,37.4,14.5,54.2,38.4,79.8,6.9
"COL",15.7,80,14400,34,80,18.4,0.8,94.1,51.8
"COM",4,68.1,1600,19.4,17.9,4.9,21.4,54,6.8
"DEU",32.8,83.6,50800,99.1,80.3,5,19.6,98.1,66.1
"DOM",23.8,73.8,17000,49.2,71.5,16,1,91.2,66.9
"DZA",21.7,79.1,15200,29.9,57.1,53.9,48.2,81.4,44.9
"ECU",35.7,80.6,11500,38.9,80.1,10.8,25.2,93,46.9
