"","Pais","Porcentaje de Parlamentarias 2010-2019","Violencia física y psicológica de la mujer de 15 - 49 años","Porcentaje de violencia a la mujer 2014","Porcentaje de violencia a la mujer 2019","Promedio Alfabetización 2009-2019","Promedio Educación 2009-2019","Promedio acceso anticonceptivo","Promedio acceso a cuentas bancarias y servicio telefónico"
"1","AFG",27.7,46.1,90,80.2,37.4,2.9,21.8,4.5
"2","AGO",34.7,25.9,NA,NA,66,6.8,13.7,27.8
"3","ALB",21.3,NA,30,29.8,97.4,65.4,46,31.5
"4","ARG",37.9,NA,4,11.6,99.1,98.1,68.3,44.5
"5","ARM",13.4,3.5,9,10.1,99.7,55,56,24.6
"6","AUS",27,NA,4,3.2,NA,NA,67.3,98.9
"7","AUT",31.3,4,NA,NA,NA,NA,65.7,97.5
"8","AZE",16.4,9.8,22,28,99.8,24.1,54.9,22.6
"9","BDI",33.7,27.9,73,72.9,65,2.8,27.4,6.4
"10","BEL",39.1,8,NA,NA,NA,NA,68.6,98.5
"11","BEN",8.2,NA,16,36,37.7,7.3,15.4,17.3
"12","BFA",13.4,9.3,44,43.5,37.9,3.3,23.9,19.3
"13","BGD",19.8,28.8,33,28.3,65.4,12.7,61.8,29.4
"14","BGR",22.4,9,21,18.2,98.4,72.1,NA,NA
"15","BIH",20.6,NA,5,4.8,NA,NA,45.8,49.8
"16","BLR",33.2,NA,4,4.1,99.7,100.2,67.6,70.5
"17","BOL",39.2,27.1,16,16.1,NA,NA,66.5,39
"18","BRA",10.2,NA,15,8.5,91.8,53.9,NA,NA
"19","BTN",9.6,NA,68,68.4,61.8,8.4,65.6,27.7
"20","CAF",9.8,26.3,80,79.6,37.1,1.5,15.2,6.6
"21","CHE",32.1,NA,16,15.2,NA,NA,72.9,97.8
"22","CHN",22.8,NA,49,32.7,96,39.8,84.5,70.9
"23","CIV",10.2,22,NA,NA,44,6,20.2,32.4
"24","CMR",22.5,32.7,47,36.1,74.2,11.7,28.9,17
"25","COG",8.6,NA,76,54.2,79.8,6.9,37.4,14.5
"26","COL",15.7,18.4,11,11.1,94.1,51.8,80,34
"27","COM",4,4.9,NA,NA,54,6.8,19.4,17.9
"28","CPV",21.8,7.8,NA,NA,86.1,25.5,NA,NA
"29","CYP",14.6,3,NA,NA,98.7,59.2,NA,NA
"30","DEU",32.8,5,20,19.6,NA,NA,80.3,99.1
"31","DOM",23.8,16,4,2,91.2,66.9,71.5,49.2
"32","DZA",21.7,NA,52,48.2,81.4,44.9,57.1,29.9
"33","ECU",35.7,10.8,25,25.2,93,46.9,80.1,38.9
"34","EGY",10.2,14,39,35.7,73,30.3,58.5,14.3
"35","ERI",22,NA,71,51.4,76.6,2.2,NA,NA
"36","ESP",38.5,2,10,9.6,98,90.4,71.8,93.6
"37","EST",23.9,4,18,16.9,99.9,87,NA,NA
"38","ETH",33.3,19.8,68,63,51.8,4.6,37.4,25
"39","FIN",42.6,8,11,11.2,NA,NA,85.5,99.8
"40","FRA",28.2,7,7,6.6,NA,NA,78.4,94.5
"41","GAB",15.6,31.5,50,50.2,NA,NA,31.1,33.9
"42","GEO",12,NA,9,8.6,99.5,48.8,53.4,46.1
"43","GMB",8.8,7.3,75,58.4,46.4,2.1,NA,NA
"44","GRC",19.3,8,NA,NA,96.4,121.5,NA,NA
"45","GTM",14.1,8.9,7,11,78.9,20.9,60.6,30.8
"46","HRV",20.5,4,NA,NA,99.1,71.2,NA,NA
"47","HTI",4.1,13.9,29,58.9,NA,NA,34.4,22.4
"48","HUN",9.9,8,9,8.7,99.1,64,NA,NA
"49","IDN",18.2,NA,31,34.5,94.5,31.6,61.3,36
"50","IND",11.8,22,45,22.1,71.8,23.1,53.5,48.7
"51","IRL",18.4,4,NA,NA,NA,NA,73.3,94.1
"52","IRN",4.4,NA,21,21,84.6,54.7,77.4,80.3
"53","IRQ",25.5,NA,55,54.8,NA,NA,52.6,11.5
"54","ITA",27,7,7,5.3,99,74.2,65.1,79.7
"55","JAM",15.2,8.5,3,4.9,88.1,36.6,NA,NA
"56","JOR",13.1,14.1,70,18,96.1,39.1,56.5,19.8
"57","JPN",9.9,NA,14,8.9,NA,NA,47.2,97.3
"58","KAZ",23.5,NA,12,14.2,99.8,56.3,53.8,53.2
"59","KEN",15.5,25.5,53,41.8,80.1,7.5,61.6,62.7
"60","KGZ",21.2,17.1,36,32.8,99.4,49.7,39.1,20.6
"61","KHM",20.4,10.9,46,50.4,77.5,11.2,53.4,15.2
"62","KOR",16,NA,19,18.4,NA,NA,78.3,93.7
"63","KWT",5.2,NA,39,37,95.6,76.1,NA,NA
"64","LAO",26.3,6.4,81,58.2,71.5,16.1,52,29
"65","LBR",11,35,59,42.5,48.3,7.9,25.7,21.4
"66","LKA",5.6,NA,53,53.2,91.8,22.1,61.7,74.6
"67","LSO",24.2,NA,37,37.1,76.2,12.9,56.9,31.7
"68","LTU",21.1,6,NA,NA,99.8,92.3,NA,NA
"69","LVA",21.7,7,NA,NA,99.9,90.2,NA,NA
"70","MAR",17.7,NA,32,22,66.6,23.6,NA,NA
"71","MDA",21.5,14.6,22,11.2,99.2,46,59.5,26.9
"72","MDG",16.4,NA,32,45.2,70.3,4.3,NA,NA
"73","MDV",6,6.4,NA,NA,98.2,39.9,NA,NA
"74","MEX",37.1,9.5,16,5,94.2,31.4,69.6,31.4
"75","MHL",5.6,20.1,NA,NA,98.3,23.8,NA,NA
"76","MKD",34.3,NA,15,14.5,97.8,43.6,40.2,69.5
"77","MLI",9.6,21.5,87,72.6,33.3,3.3,11.8,15.8
"78","MLT",11,5,NA,NA,93.9,50.6,NA,NA
"79","MMR",7.5,11,NA,NA,75.6,17.7,49.1,21.7
"80","MNG",12.4,14.7,10,10.1,98.3,71.7,54.8,90.2
"81","MOZ",39.7,15.5,36,22.9,55.8,4.9,NA,NA
"82","MWI",20.3,24.3,13,16.3,62.9,0.6,54.6,20.2
"83","MYS",11,NA,42,41.5,94.2,45.8,52.2,74.6
"84","NAM",33.1,20.2,35,28.2,89.9,27.1,56.1,68.8
"85","NGA",5.8,11,43,34.7,62,8.2,19.1,29.1
"86","NIC",39.5,7.5,14,13.7,NA,NA,80.4,17.3
"87","NLD",37.4,7,9,6.4,NA,NA,73,99.1
"88","NPL",31.9,11.2,23,42.9,63.8,12.2,50.6,31.4
"89","PAK",21.4,NA,43,42.2,56.2,8.6,32.7,4.9
"90","PAN",13.8,10.1,NA,NA,94.8,54.7,62.8,35.3
"91","PER",26,10.8,34,32.2,94.1,73.1,75,24.8
"92","PHL",25.9,5.5,14,12.9,97.3,35.9,52.7,36.8
"93","PLW",6.2,9.6,NA,NA,98,66.4,NA,NA
"94","POL",25.3,3,10,7.9,NA,NA,56.5,76.4
"95","PRT",32.2,6,NA,NA,95.3,69.9,73.9,84.8
"96","PRY",13.5,8,NA,NA,94.5,42.3,68.4,34.4
"97","QAT",3.3,NA,20,6.6,92.7,38.8,37.5,61.6
"98","ROU",15.4,7,11,7.5,98.7,60.4,NA,NA
"99","RUS",14.2,NA,25,23.3,99.7,87,68,64.7
"100","RWA",59.2,20.7,56,41.4,69.6,6.2,52.4,36.2
"101","SEN",35.7,12.2,60,56.5,49.1,7.7,21.6,18.5
"102","SGP",23.3,NA,41,40.5,96.7,90.9,NA,NA
"103","SLE",12.6,NA,73,62.8,NA,NA,16.7,13.6
"104","SLV",26.6,6.7,NA,NA,86.8,29,72,22.1
"105","SRB",30.5,NA,11,3.8,98.4,65.5,59.6,71.8
"106","STP",17.6,26.3,NA,NA,91.5,7.7,NA,NA
"107","SVN",30,2,17,15.8,99.7,100.6,NA,NA
"108","SWZ",10.1,NA,28,19.9,85.8,6.8,NA,NA
"109","TCD",12.6,17.5,62,73.5,24.2,0.9,5.2,9.8
"110","TGO",14.2,12.7,43,28.7,60.4,7.1,17.5,20.6
"111","THA",12,NA,61,8.6,94.2,57.1,78.8,75.9
"112","TJK",19,19,60,59.6,99.8,18.9,28.6,17.8
"113","TKM",21.2,NA,38,26.3,99.7,6.2,50.2,18.1
"114","TLS",34.9,34.6,86,86.2,63.2,14.2,NA,NA
"115","TUN",27.7,NA,30,18.6,79.5,42.9,62.5,24.5
"116","TUR",14.1,11,25,13.3,NA,NA,73.5,43.8
"117","UGA",34,29.9,58,58.3,73.3,3.7,35.2,34.8
"118","UKR",11.7,10.2,22,2.9,100,89.1,65.4,50.7
"119","URY",15.8,2.8,9,1.5,NA,NA,79.6,41.9
"120","USA",18.9,NA,13,11,NA,NA,74.8,90.5
"121","UZB",19,NA,42,41.5,100,6.9,NA,NA
"122","VNM",25.8,10.8,36,28.2,94.3,26.4,76.8,27.1
"123","YEM",0.2,NA,38,48.7,NA,NA,33.5,1.5
"124","ZAF",43.2,NA,34,61.2,92.6,24,54.6,63.8
"125","ZMB",15.1,26.7,62,46.9,84.9,2.9,49,32.3
"126","ZWE",23.5,19.9,40,38.7,86.1,6.5,64.1,39.3
