"País","Data 2011","Data 2012","Data 2013","Data 2014","Data 2015"
"AUS",NA,0.14,NA,0.128,NA
"AUT",0.091,0.096,0.09,0.091,0.087
"BEL",0.097,0.1,0.098,0.091,0.098
"BGR",0.162,0.154,0.16,0.166,0.168
"BRA",0.209,NA,0.2,NA,NA
"CAN",0.131,0.133,0.133,0.126,0.142
"CHE",0.105,0.091,0.086,0.099,0.091
"CHL",0.184,NA,0.168,NA,0.161
"CHN",0.288,NA,NA,NA,NA
"CRI",0.207,0.213,0.21,0.215,0.206
"CZE",0.059,0.052,0.059,0.059,0.064
"DEU",0.087,0.084,0.091,0.095,0.101
"DNK",0.058,0.054,0.054,0.055,0.055
"ESP",0.147,0.141,0.159,0.153,0.153
"EST",NA,NA,0.158,0.157,0.16
"FIN",0.075,0.065,0.071,0.068,0.063
"FRA",NA,0.085,0.079,0.081,0.081
"GBR",0.104,0.105,0.104,0.105,0.109
"GRC",0.151,0.149,0.151,0.148,0.149
"HUN",0.077,0.085,0.086,0.087,0.085
"IND",0.197,NA,NA,NA,NA
"IRL",0.1,0.094,0.095,0.093,0.098
"ISL",0.058,0.061,0.045,0.067,0.054
"ISR",0.181,0.184,0.186,0.186,0.195
"ITA",0.128,0.13,0.133,0.137,0.144
"JPN",NA,0.161,NA,NA,0.157
"KOR",NA,NA,NA,NA,0.175
"LTU",0.126,0.143,0.124,0.157,0.165
"LUX",NA,NA,NA,NA,0.109
"LVA",0.129,0.133,0.145,0.164,0.162
"MEX",NA,0.189,NA,0.167,NA
"NLD",0.066,0.069,0.079,0.078,0.078
"NOR",0.077,0.081,0.078,0.081,0.081
"NZL",0.098,0.099,NA,0.109,NA
"POL",0.106,0.104,0.106,0.104,0.111
"PRT",0.114,0.13,0.135,0.135,0.125
"ROU",0.167,0.165,0.182,0.187,0.193
"RUS",0.146,NA,NA,NA,NA
"SVK",0.082,0.085,0.085,0.088,0.085
"SVN",0.086,0.095,0.095,0.093,0.092
"SWE",NA,NA,0.086,0.09,0.092
"TUR",0.186,0.177,0.171,0.173,0.172
"USA",NA,NA,0.172,0.175,0.168
"ZAF",NA,NA,NA,NA,0.266
