"Country,""Age Group"",""Year"",""Proportion of ever-partnered women and girls aged 15-49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months"""
"AFG,""15-19  years"",""2015"",""28.7"""
"AFG,""20-24 years"",""2015"",""41.1"""
"AFG,""25-29 years"",""2015"",""48.6"""
"AFG,""30-34 years"",""2015"",""49.3"""
"AFG,""35-39 years"",""2015"",""49.1"""
"AFG,""40-44 years"",""2015"",""45.2"""
"AFG,""15-49 years"",""2015"",""46.1"""
"AFG,""45-49 years"",""2015"",""51.9"""
"AGO,""15-19  years"",""2015-2016"",""24.3"""
"AGO,""20-24 years"",""2015-2016"",""32.9"""
"AGO,""25-29 years"",""2015-2016"",""28.0"""
"AGO,""30-34 years"",""2015-2016"",""25.1"""
"AGO,""35-39 years"",""2015-2016"",""24.8"""
"AGO,""40-44 years"",""2015-2016"",""20.6"""
"AGO,""15-49 years"",""2015-2016"",""25.9"""
"AGO,""45-49 years"",""2015-2016"",""18.1"""
"ARM,""15-19  years"",""2015-2016"",""0.0"""
"ARM,""20-24 years"",""2015-2016"",""2.4"""
"ARM,""25-29 years"",""2015-2016"",""2.3"""
"ARM,""30-34 years"",""2015-2016"",""3.3"""
"ARM,""35-39 years"",""2015-2016"",""4.7"""
"ARM,""40-44 years"",""2015-2016"",""2.8"""
"ARM,""15-49 years"",""2015-2016"",""3.5"""
"ARM,""45-49 years"",""2015-2016"",""5.6"""
"AUT,""18-49 years"",""2012"",""4.0"""
"AZE,""15-19  years"",""2006"",""11.5"""
"AZE,""20-24 years"",""2006"",""9.9"""
"AZE,""25-29 years"",""2006"",""11.7"""
"AZE,""30-34 years"",""2006"",""11.2"""
"AZE,""35-39 years"",""2006"",""10.5"""
"AZE,""40-44 years"",""2006"",""7.7"""
"AZE,""15-49 years"",""2006"",""9.8"""
"AZE,""45-49 years"",""2006"",""8.5"""
"BGD,""15-19  years"",""2015"",""28.4"""
"BGD,""20-24 years"",""2015"",""35.4"""
"BGD,""25-29 years"",""2015"",""32.2"""
"BGD,""30-34 years"",""2015"",""30.8"""
"BGD,""35-39 years"",""2015"",""27.1"""
"BGD,""40-44 years"",""2015"",""21.6"""
"BGD,""15-49 years"",""2015"",""28.8"""
"BGD,""45-49 years"",""2015"",""19.7"""
"BEL,""18-49 years"",""2012"",""8.0"""
"BOL (Plurinational State of),""15-49 years"",""2016"",""27.1"""
"BGR,""18-49 years"",""2012"",""9.0"""
"BFA Faso,""20-24 years"",""2010"",""10.3"""
"BFA Faso,""25-29 years"",""2010"",""9.4"""
"BFA Faso,""30-34 years"",""2010"",""9.1"""
"BFA Faso,""35-39 years"",""2010"",""10.8"""
"BFA Faso,""40-44 years"",""2010"",""9.1"""
"BFA Faso,""15-49 years"",""2010"",""9.3"""
"BFA Faso,""45-49 years"",""2010"",""8.7"""
"BDI,""15-19  years"",""2016-2017"",""37.8"""
"BDI,""20-24 years"",""2016-2017"",""34.4"""
"BDI,""25-29 years"",""2016-2017"",""29.0"""
"BDI,""30-34 years"",""2016-2017"",""28.6"""
"BDI,""35-39 years"",""2016-2017"",""26.5"""
"BDI,""40-44 years"",""2016-2017"",""22.5"""
"BDI,""15-49 years"",""2016-2017"",""27.9"""
"BDI,""45-49 years"",""2016-2017"",""21.9"""
"CPV,""15-49 years"",""2005"",""7.8"""
"KHM,""15-19  years"",""2014"",""7.0"""
"KHM,""20-24 years"",""2014"",""9.8"""
"KHM,""25-29 years"",""2014"",""7.8"""
"KHM,""30-34 years"",""2014"",""12.8"""
"KHM,""35-39 years"",""2014"",""14.1"""
"KHM,""40-44 years"",""2014"",""11.1"""
"KHM,""15-49 years"",""2014"",""10.9"""
"KHM,""45-49 years"",""2014"",""10.9"""
"CMR,""15-19  years"",""2014"",""27.4"""
"CMR,""20-24 years"",""2014"",""32.8"""
"CMR,""25-29 years"",""2014"",""32.8"""
"CMR,""30-34 years"",""2014"",""35.7"""
"CMR,""35-39 years"",""2014"",""35.2"""
"CMR,""40-44 years"",""2014"",""31.4"""
"CMR,""15-49 years"",""2014"",""32.7"""
"CMR,""45-49 years"",""2014"",""28.2"""
"CAF,""15-19  years"",""2006"",""31.8"""
"CAF,""20-29 years"",""2006"",""29.9"""
"CAF,""30-39 years"",""2006"",""22.4"""
"CAF,""15-49 years"",""2006"",""26.3"""
"CAF,""40-49 years"",""2006"",""16.3"""
